name,parkprop,parknumber,commboard,council,dimen,extant,Cost
Grand Army Plaza Urns,Y,B040,19.0,33.0,"Total Height from base to highest point of snake handle: approx. 29 1/2"" highBase: approx. 16 3/4"" wideWidth of urn from snake handles: approx. 36""",S,
Boy and Girl,N,,0.0,0.0,,Y,
General Casimir Pulaski,Y,X041,1.0,8.0,"24""h x 35""w x 1""d",N,
Van Pelt Manor,Y,B063,11.0,50.0,"20""h x 30""w",M,
peristyle,,,,,,,
Harlem Heights Middle Redoubt Marker,N,,9.0,7.0,"h 1'10"" x w 1'5""",Y,
Giovanni da Verrazzano,Y,M005,1.0,1.0,"half figure h 5' (?); standing figure h 9'; original total h 27' x w 11'6"" x d 11'6""",Y,"$5,000 (materials only);"
Arthur Cunningham,Y,Q021,8.0,23.0,"Pedestal H: 8'6"" W: 6' D: 2'",Y,
Cadwallader David Colden,N,,1.0,1.0,,Y,
"loyalty, valor and sacrifice",N,,4.0,17.0,,Y,
James S.T. Stranahan,Y,B073,0.0,39.0,"Statue H: 7'8½"" W: 2'6¾"" D: 2' 9 1/8""; base 2'7"" x 2'7""; pedestal H: 7'4"" W: 6'3"" D: 5'8""; two-step broad base 14'8"" square; total H: 8'5""",Y,"$10,000"
Walter J. Wetzel Memorial,Y,,0.0,0.0,4'h x 4'w x 5'd,M,
"Ryan, Corporal George P.",Y,X043,1.0,17.0,"1'4""h x 2'w",N,
3000 A.D. Diffusion Piece,Y,M099,12.0,10.0,H: 35' W: 3' D: 1',Y,
James Duane,N,,1.0,1.0,,Y,
"Flagstaff, P.S. 9",N,,8.0,35.0,,Y,
Poetry,N,,1.0,1.0,,Y,
Fallen Angels,O,B048,9.0,35.0,,Y,
East River Park Anchor,Y,M144,3.0,1.0,,N,
"powers, robert grey",N,,1.0,34.0,,Y,
public school #3,N,,0.0,0.0,,Y,
Delury Plaza,N,,1.0,1.0,,Y,
Rockaway Mosaic,Y,Q050,14.0,32.0,"First wall 3'4"" x 3'; Second wall 1'8"" x 3'; third wall 1'8"" x 2'2""",Y,"$30,000"
John Ericsson,Y,M005,1.0,1.0,"Figure H: 8'7""; Base H: 7'11"" W: 8' D: 8'; Each plaque H: 1' W: 2'3½""",Y,"$10,000"
Civic Virtue,N,QZ23,9.0,29.0,"Total H: 22'10"" W: 5'7""; Basin diameter: 38'",Y,
Robert F. Wagner Tree Marker,N,M060C,8.0,4.0,"H: 11"" x W: 1'4""",Y,
The Immigrants,Y,M005,1.0,1.0,"Group H: 10' W: 5' D: 14'2½""; Base H: 1'1"" W: 8' D: 17'7""",Y,
Rose and Crown Tavern,Y,Z004B,2.0,50.0,"Tablet H: 18"" W: 22""; Boulder H: 4' W: 3' D: 3'",Y,
harriman panels,N,,0.0,0.0,,M,
Civic Pride,N,,1.0,1.0,,Y,
Theodore Roosevelt,Y,M053,7.0,6.0,,Y,
Poetry,O,M008,5.0,3.0,,Y,
Electricity,N,,1.0,1.0,,Y,
Netherland Monument,Y,M005,1.0,1.0,"Total H: 12'; Top W: 2'6"" D: 2'6""; Bottom W: 7' D: 7'",Y,
"loomis, alfred lebbens",N,,6.0,4.0,,Y,
seaman's institute,Y,,1.0,1.0,,N,
Large Coqui,Y,M116,3.0,1.0,"40"" x 76"" x 88""",Y,"$300,000"
Erasmus Hall High School,N,,14.0,40.0,,Y,
Sugar House Prison Window,N,,1.0,1.0,,Y,
Norwegian Veterans Monument,Y,M005,1.0,1.0,"Total H: 6' W: 12'; Marker front H: 4"" Rear H: 1'2"" W: 1'8"" D: 1'4""",Y,
Battery Park Cannon,Y,M005,1.0,1.0,"H: 2'9"" W: 4' D: 1'2""",Y,
Sunset Park Memorial,Y,B087,7.0,38.0,total h 4',N,
public school #114,N,,0.0,0.0,,Y,
stanford bust,N,,0.0,0.0,,M,
"southerland, benjamin delamater",N,,2.0,3.0,,Y,
Battery Park Cannon,Y,M005,1.0,1.0,"H: 2'9"" W: 4' D: 1'2""",Y,
Peter Caesar Alberti Marker,Y,M005,1.0,1.0,"Front H: 4""; Rear H: 1'2"" W: 1'8"" D: 1'4"" (all approximate)",Y,
Recorder,N,,1.0,1.0,,Y,
Isham Park Benches,Y,M043,12.0,7.0,,Y,
McCarren Park World War I Memorial,Y,B058,1.0,33.0,,N,
Electrolier,Y,,0.0,0.0,,N,
History,N,,1.0,1.0,,Y,
Carolus Linnaeus,Y,X003,11.0,13.0,"H:1'6"" W: 2'",N,
Westchester Square Cannon,Y,X016,9.0,26.0,,N,
John Burroughs,N,,3.0,2.0,,Y,
"John Hansborough, Jr. Sign",Y,M131,10.0,9.0,H: 14' W: 20',N,
New York In Revolutionary Times,N,,1.0,1.0,,Y,
Patrolman John J. Fraser Memorial Plaque,Y,B173,18.0,46.0,,M,
Conference House Tablet,Y,R006,3.0,51.0,"H: 1'2"" W: 1'",Y,
song of achievement,N,,4.0,17.0,,Y,
riverside park monument list,Y,M071,0.0,0.0,,M,
Jackie Robinson,Y,M014,10.0,7.0,,Y,
Kate Wollman Memorial Skating Rink,Y,B073,0.0,39.0,"H: 15"" W"" 22""",N,
Harold E. Butternick,N,,7.0,6.0,,Y,
Dante Alighieri,Y,M020,7.0,6.0,"H: 25'7"" W: 16'4"" D: 16'4""",Y,
Lilian Wald,Y,M064,3.0,1.0,"2'8 ½""h x 2' 8 ½""w",Y,
Archimedes,N,,0.0,0.0,,Y,
Frances J. & John E. Mellett,Y,B197,15.0,48.0,"H: 15 1/8"" W: 11 ½""",S,
Shelter Pavilion Plaque,Y,B114,1.0,33.0,,N,
"Physicians, Surgeons and Nurses",Y,M071,9.0,6.0,"H: 2' W: 1'10""",M,
Riverside Drive Extension,Y,M072,0.0,7.0,"1'3""h x 4' 6 ½""w",N,
Grant's Tomb -D.A.R. Flagstaff,Y,M071,0.0,9.0,"15"" x 16""",S,
public school #6,N,,8.0,4.0,,Y,
"Ruth, Babe Memorial",Y,X058,4.0,14.0,"18 ½""h x 24 ½""w",N,
metropolitan hospital tablet,N,,0.0,0.0,,M,
David Pietersen De Vries,N,,1.0,1.0,,Y,
"Dongan, Thomas",N,,1.0,49.0,,Y,
Ogden Avenue Playground Sculpture,Y,X148A3,4.0,16.0,"H: 128 ½"" W: 56 ½"" D: 6""",M,
Coast Guard Memorial,Y,M005,1.0,1.0,"Group H: 8'10""; Pedestal H: 5'8"" W: 5'3"" D: 3'4""",Y,
public school #66,N,,0.0,0.0,,Y,
Washington Kill Von Kull Plaque,Y,R008,1.0,49.0,"H: 14"" W: 20""",Y,
Holocaust Memorial Mall,Y,BT10,15.0,48.0,Horizontal marker L: 21',Y,697000.00
grant memorial tablet,N,,0.0,0.0,,N,
Industry,N,,1.0,1.0,,Y,
washington bridge,N,,12.0,7.0,,Y,
"Riis, Jacob A.",N,Q049,18.0,46.0,"8'hx1'8""w x1'8""d;bst 1'9 ½""h",N,
little neck world war memorial,N,,0.0,0.0,,Y,
Washington's Headquarters,Y,M073,12.0,7.0,2 ½'h x 3 ½'w,S,
Diving Girls,Y,Q004,1.0,22.0,,N,
Civic Fame,N,,1.0,1.0,,Y,
McCray Memorial,Y,M110,10.0,9.0,"H: 2' W: 1'2""",M,
Riverside Drive Viaduct,Y,M071,0.0,7.0,"H: 2'9"" W: 4'5""",M,
Wall Street Fountain,Y,,1.0,1.0,"H (from pavement): 6'7""; H (from lowest basin): 7'5""; D (outer): 18' 9.5""; D (inner): 15' 9.5""",Y,
Major John W. Mark,Y,Q025,12.0,27.0,,M,
"ord, edward otho, cresap",N,M071,0.0,9.0,"2'6""h",N,
Cupids with Tablets,N,,1.0,1.0,,Y,
Morris-Jumel Mansion,Y,M073,12.0,7.0,"15""h x 23""w",S,
Riverside Drive Extension,Y,M071,0.0,7.0,"H: 2' W: 4'6""",M,
USS New Hampshire,Y,M072,0.0,7.0,,M,
"Hooper Fountain, Brooklyn",Y,,6.0,33.0,lantern 15'h,N,
Washington's Headquarters,Y,M073,12.0,7.0,"2'6""h x 3'w",S,
"turner, peter",N,,2.0,33.0,,Y,
Industry,N,,1.0,1.0,,Y,
James J. Shepard,N,,7.0,6.0,,Y,
li hung chang,Y,,0.0,0.0,,N,
newtown high school,N,,7.0,20.0,,Y,
Woodhaven Honor Roll,Y,Q015,16.0,30.0,see memo,M,
New Dorp Beach Memorial,N,,0.0,0.0,,Y,
"lewis, le roy tablet",N,,0.0,0.0,,Y,
Medicine,N,,1.0,1.0,,Y,
Captain James Miller,N,,2.0,50.0,,M,
"tripp, mary",N,,0.0,0.0,,Y,
Bensonhurst Park Flagstaff,Y,B007,11.0,47.0,,N,
Van Cortlandt Landmark Tablet,Y,X092,0.0,11.0,"H: 16 ½"" W: 18""",Y,
Eagles,N,,1.0,1.0,,Y,
Philip H. Sheridan,O,M071,0.0,9.0,"2'6""h",Y,
Jumel Mansion Tablet,Y,M073,12.0,7.0,"H: 2'6"" W: 3'",M,
Jackie Robinson Recreation Center Reliefs,Y,M014,9.0,9.0,"Girls with Turtles: 30"" x 36""; Girls with Frogs: 30"" x 36""; Sailboat: 18"" x 27""; Surf board: 18"" x 27""",Y,
Hebrew Prophet,O,B048,9.0,35.0,,Y,"$3,000"
Tree of Hope,Y,M096,10.0,9.0,"H: 13"" W: 16""",Y,
Armenian Grove Plaque,Y,M089,5.0,2.0,"Plaque H: 1' W: 1'6""",Y,
Tree of Hope III,Y,M096,10.0,9.0,H: 8',Y,
Double Sun,Y,B058,1.0,33.0,4 34' x 8' Walls,Y,
Merchant Marine Tablet,Y,M046,1.0,1.0,"august, 1923",M,
Justice,N,,1.0,1.0,,Y,
Public School #68,N,,10.0,9.0,,Y,
German Cannon Tablet,Y,B006,3.0,34.0,"Tablet H:1'6"" W: 2'6""; Plinth H: 2'5"" W: 2'7""",S,
Sculptured Decorations,O,B073,0.0,39.0,,Y,
East 107th Street Recreational Pier,Y,M108T01,11.0,8.0,,N,
"zoo, sculptured panel list",Y,M010,0.0,0.0,,M,
The Garment Worker,N,,5.0,3.0,,Y,
Tomorrow's Wind,Y,M047,11.0,8.0,"H:13'6"" W: 13' D: 8'; plate segments W: 2-4"" D: ¼""; base diameter 14'",Y,"$50,000"
Sculptured Panel,O,B073,0.0,39.0,,Y,
Hamilton W. Robinson,N,,1.0,1.0,,Y,
Subway,N,B113C,2.0,33.0,,Y,
Spanish Memorial Plaque,Y,B032,2.0,35.0,"Plaque: 25""L x 20""W; Boulder: 60""L x 30""W x  25"" H",Y,
Peace Fountain,N,,7.0,9.0,40'h,Y,
Tompkinsville World War Memorial,Y,R024,1.0,49.0,see memo,N,
spring,N,,5.0,2.0,,Y,
William E. Kelly,Y,B051,15.0,48.0,"H: 60"" W: 50"" D: 32""; Plaque Diameter:12 ¼""",Y,"$3,000"
Allen Street Mall (Scholar's Rock Garden),Y,M004,3.0,1.0,"Large rocks: H: 100"" W: 40"" D: 24"" or H: 68"" W: 40"" D: 16"". Small rocks: H: 10"" W: 13"" D: 13""; H: 14"" W: 11"" D: 3""; or H: 12"" W: 21"" D: 3""",Y,
James Jackson Tombstone,Y,M098,2.0,1.0,"38""H x 25""W x 3""D",S,
John T. Brush Stairway,Y,M037,12.0,7.0,,Y,
Brooklyn Wall of Remembrance,Y,B369,13.0,47.0,(3) 30' x 12' panels,Y,"$500,000"
King Juan Carlos Plaque,Y,B032,2.0,35.0,"plaque l 6' x w 4' ; base l 11' x w 6' x depth 1'; sub-base l 8' x w 4'6"" x depth 10""",S,
Badame Sessa Memorial,Y,M013,1.0,1.0,,Y,
James Madison Tree Marker,Y,M052,5.0,3.0,"H: 13"" W: 18""",Y,
Green and Eidenbaum WWI Tree Marker,Y,B012,8.0,36.0,"9""W x 4.5""H",Y,
Hansborough Natatorium,Y,M131,10.0,9.0,Upper bas relief: 6’-4”H X 10’-0”W,Y,
Shadows and Flags,N,,1.0,1.0,,Y,
Prospect Park Electric Fountain,Y,B073,0.0,39.0,370' diameter,N,"$24,500.00"
public school #10,N,,7.0,38.0,,Y,
Union Square - Liberty Pole,Y,M089,5.0,2.0,H: 75',N,5000.00
licenses,N,,1.0,1.0,,Y,
Stein-Goldie Veterans Square,Y,QZ643,13.0,23.0,,Y,
Thirteenth Regiment Coast Defense Memorial,N,,36.0,3.0,total h 25' x  w12' x  d 3',Y,
public school #194,N,,0.0,0.0,,Y,
police headquarters (old),N,,2.0,1.0,,Y,
Wynn Circle Cannon Tablet,Y,B115,1.0,33.0,"1'11""h x 1'6""w",S,100.00
old sugar house,N,,0.0,0.0,,Y,
"hobart, john sloss",N,,1.0,1.0,,Y,
Bronx Park Tablet,Y,X002,14.0,12.0,,Y,
Ten Heroes Plaza,Y,QZ291,4.0,21.0,,Y,
Red Hook Stadium (Pool) Reliefs,Y,B126,6.0,38.0,"Each H: 6' W: 7' D: 5""",Y,
Thirteen Stone Pillars,Y,X092,0.0,11.0,,Y,
Peter Pan,Y,M081,8.0,5.0,,Y,
Togo,Y,M082,3.0,1.0,,Y,
De Witt Clinton,N,,1.0,1.0,,Y,
Van Cortlandt Park Fountain (colonial),Y,X092,0.0,11.0,"12'6""h x 9'w x 40'diam",N,"$10,000."
Old Glory Lookout,Y,B082,10.0,43.0,,M,
Edgar Allan Poe,Y,X040,7.0,15.0,"Bust H: 21""; Pedestal H: 6'6"" W: 1'10"" D:1'3""",Y,
Nine Heroes Plaza,Y,Q060,4.0,25.0,"Flagpole Base: 4'10"" D x 6' H ; Plaques: 8.5"" (top) - 1'5"" (bottom) L x 2'4"" H",Y,
Superheroes Mural,Y,X045,1.0,17.0,H: 10' (approximate),,
Police Headquarters,N,,2.0,1.0,,Y,
Morris-Jumel Mansion,Y,M073,12.0,7.0,"H: 16 ½"" W: 18""",Y,
"Fortune, Emma Loreeto",N,B154,1.0,34.0,,Y,
Conference House Landmarks Tablet,Y,R006,3.0,51.0,,Y,
justice,N,,5.0,2.0,,Y,
Charles O'Conor,N,M052,5.0,2.0,,Y,
Jenny Lind,N,,11.0,8.0,,Y,
Damrosch Park,Y,M231,7.0,6.0,"H: 5""",Y,
public school #39,N,,0.0,0.0,,Y,
John Finley Walk,Y,M081,8.0,5.0,Silhouette H: 3' (approx.). Pole H: 10',Y,
Jeanette Park - Oyster Bar,Y,M046,1.0,1.0,,N,
Fort Prince Charles,N,,0.0,0.0,,Y,
Guglielmo Marconi,Y,,0.0,0.0,"H: 3' 7½"" W: 3' 5"" D: 1'",L,
johabbes verveeken ferry,N,,0.0,0.0,,Y,
Iron Age,N,,1.0,1.0,,Y,
King Mansion Plaque,Y,Q023,12.0,28.0,"H: 15"" W: 24"" D: ½""",Y,
John Wolfe Ambrose,Y,M005,1.0,1.0,"H: 10' W: 6'2"" D: 10""; Bust H: 2'3""",Y,
Verrazzano Memorial Flagstaff,Y,B210W,10.0,43.0,"29"" diameter (bronze relief sculpture)",Y,
Dyckman House Tablet,Y,M026,12.0,7.0,"H: 1'10"" W: 4'6""",Y,
Van Cortlandt Landmark Tablet,Y,X092,0.0,11.0,"H: 16 ½"" W: 18""",Y,
Van Cortlandt House,Y,X092,0.0,11.0,"H: 2' W: 2'3""",Y,
Flushing Bay Promenade Pavement,Y,Q099,15.0,21.0,L: 240' W: 12',Y,"$81,000"
Blackwell Homestead,O,,8.0,5.0,,Y,
Joseph C. Sauer Tablet,Y,M113,3.0,2.0,"H: 24"" W: 14""",M,
Dr. Sun Yat-sen Monument,Y,M015,3.0,1.0,"Figure: H: 6'11"" W: 2'5"" D: 1'6""; Pedestal H 7'8"" W: 6'3"" D: 6'3""",Y,"$350,000"
Maternity,N,,1.0,1.0,,Y,
Bartel-Pritchard Circle War Memorial,Y,B003,19.0,39.0,"H: 8'1"" W: 4'11¾"" D: 1'5¼""",Y,
Fort George Memorial Tablet,Y,M005,1.0,1.0,"H: 33"" W: 29.5"" L: 29.5""",Y,
Hebe Figure,Y,,5.0,3.0,"h 5'1½""",L,
New Brighton War Memorial,Y,R066,1.0,49.0,"Tablet H: 1'6"" W: 1'; Plinth H: 8"" Diameter 9'; Base H: 4' Diameter 4'",Y,
public school #149,N,,0.0,0.0,,Y,
Tradition,N,,1.0,1.0,,Y,
richmond hill high school tablet,N,,0.0,0.0,,Y,
Police Boulder,Y,,0.0,0.0,,M,
Wave Hill National Parks Service Tablet,Y,X209,8.0,11.0,,Y,
"hard, henry",N,,0.0,0.0,,Y,
"washington, george city hall",N,,1.0,1.0,see memo,Y,
public school #93,N,,0.0,0.0,,Y,
justice: see city hall,N,,0.0,0.0,,Y,
The Tetherball Monument,Y,Q471,2.0,26.0,"H: 30'; ball 30"" D",Y,"$70,000"
Jerusalem Grove,Y,M005,1.0,1.0,"Marker H: 1'4"" L: 3'3"" W: 1'4""",Y,
"Bill ""Bojangles"" Robinson Mural",Y,M138,10.0,9.0,"H: 15' W: 17 '; Plaque H: 1'4"" W: 1'8""",Y,
Vanities Flagstaff,Y,X039,0.0,13.0,75'h,Y,
Salvation Army Monument,Y,M005,1.0,1.0,"Plinth H: 1' W: 6' D: 2'10""; Stele H: 5'7½"" W: 4' D: 1'6""; Plaque H: 2'6"" W: 2'9½""",Y,
Walloon Settlers Memorial,Y,M005,1.0,1.0,"H: 9'10"" W: 8'4"" D: 5'8""",Y,
Wireless Operators Memorial,Y,M005,1.0,1.0,"Cenotaph H: 8'10""; fountain diameter 7'",Y,"$1,000"
wallenberg,,,,,,,
public schoool #54,N,,0.0,0.0,,Y,
Dorothy Shaver Tablet,Y,,5.0,3.0,"9""h x 15""w x 5/8""d",M,120.00
Winter,N,,1.0,1.0,,Y,
public school #92,N,,0.0,0.0,,Y,
Conference House National Landmarks Tablet,Y,R006,3.0,51.0,,Y,
Prospect Park War Memorial,Y,B073,0.0,39.0,Wall H: 18' W: 35',Y,
Saratoga Park Memorial,Y,B079,3.0,41.0,"Figure h 6'4"" X w 2'5""; Stele h 10'  X  w 8' X  d 2'7""; each tablet  h 4'9"" X  w 1'3""",Y,5500.00
Prison Window,Y,X092,0.0,11.0,"H: 2'1"" W: 3'1""",Y,
Webster Memorial Plaque,Y,X174,6.0,15.0,"tabl. 9""h x 34""w",N,
Chinese Art,O,B048,9.0,35.0,,Y,
winged victory of samothrace,O,B048,9.0,35.0,,Y,
Gravesend Park Plaque,Y,B042,12.0,44.0,,N,
peace,N,,5.0,2.0,,Y,
Gracie Mansion Landmark Tablet,Y,M081,8.0,5.0,"H: 15 1/8"" W: 23""",Y,
Rose Hill Park Public Comfort Station,Y,X042,6.0,11.0,"H: 20"" W: 33"" D"" ½""",M,
John Vincent Daniels Jr. Post 2813 Marker,Y,Q065,2.0,26.0,,Y,
Flushing Remonstrance Plaque,Y,Q022,7.0,20.0,,Y,
Van Pelt Milestone,Y,B063,11.0,50.0,,Y,
Washington Square Memorial Drinking Fountain,Y,M098,2.0,1.0,"plaque h 3"" x w 5""",M,
General Jose de San Martin,Y,M010,7.0,6.0,"Figure H: 14'; Pedestal H: 20'4"" W: 6'1"" D: 12'6""",Y,
police headquarters (old),N,,2.0,1.0,,Y,
Samuel Sullivan Cox,Y,M088,3.0,2.0,"Figure H: 8' W: 4' D: 4'; Pedestal H: 11' W: 7'1"" D: 7'1""",Y,
Rocky Mountain Goats,O,M010,7.0,6.0,,Y,
Temperance Fountain,Y,M088,3.0,2.0,"kiosk h 13' x l 6'6"" x w 6'6""; figure h 5'1½""",Y,
Lady Deborah Moody Plaque,Y,B434,15.0,47.0,"Boulder: H: 33"" x W:34"" x D: 31""",Y,
Sculptured Panel,O,B073,0.0,39.0,,Y,
Polly Gordon Walk,Y,M081,8.0,5.0,"overall= 9' 5"" h, sign= 3' h, 2' l",Y,"10,000.00"
Joseph Pulitzer,Y,M013,1.0,1.0,"Tablet H: 2'4"" W: 1'11""; Plinth H: 8"" W: 3' D: 2'7""",Y,
Bruce Kelly Plaque,,M098,2.0,1.0,,,
Gravesend Cemetery DAR Plaque,Y,B434,15.0,47.0,"Boulder: H: 30"" x W: 20"" x D: 20""",Y,
Sergeant Dougherty,Y,B096,1.0,33.0,,M,
"washington, george city hall bust",N,,1.0,1.0,,Y,
East 54th Street Recreation Center Plaque,Y,M130,6.0,3.0,"H: 1' 6"" W: 3' 6""",Y,
Emma Sametz Tablet,Y,R006,3.0,51.0,"H: 8 ½"" W: 1'4 ½""",M,
Fort Greene Park Landmarks Tablet,Y,B032,2.0,35.0,2'L x 1'W,Y,
Bowne House Interior Plaque,Y,Q022,7.0,20.0,,Y,
John F. Kennedy Memorial Bust (original),Y,M010,8.0,6.0,"25"" H x 26"" W x 14"" D",Y,
Pleasant Plains Memorial,Y,R002,3.0,51.0,"Sculpture total H: 10'7""; Pedestal H: 4'8"" L: 3'1"" W: 3'1""; Base H: 9"" L: 5'8"" W: 5'8""; Each plaque H: 2'3½"" W: 1'9""; Sculpture weight: 800 pounds (approximate)",Y,"$8,500 (orig.); $216,000 (replacement)"
George Washington,Y,M089,5.0,2.0,"Overall H: 26'4""; Statue H: 13'6""; Pedestal H: 12'2"" W: 7'9"" L: 15'; Pedestal plinth H: 10"" W: 9'9"" L: 17'",Y,31331.92
Bryant High School,N,,1.0,26.0,,Y,
The Bowne House Plaque,Y,Q022,7.0,20.0,,Y,
Jenkins Fountain,O,B010,9.0,35.0,,Y,$4500.00
public school #113,N,,0.0,0.0,,Y,
Call of the Sea,O,B010,9.0,35.0,,Y,
George Washington Bicentennial,Y,M073,12.0,7.0,"5""h x 11""w",N,
Philosophy,N,,1.0,1.0,,Y,
Queens Vietnam Veterans Memorial,Y,Q492,4.0,25.0,"Title and Bamboo Wall L: 36’ x W: 1’ x H: 4’6""  ; Historic Wall and Names: L: 42’ x W: 1’ x H: 4’6""",Y,$2.846M
Hero Park Memorial Grove Tablets,Y,R011,1.0,49.0,,M,
"Bryant, William Cullen",N,,1.0,26.0,,Y,
public school #56,N,,0.0,0.0,,Y,
Bowne House Landmarks Tablet,Y,Q022,7.0,20.0,,Y,
Theodore Roosevelt Tree Plaque,Y,B012,8.0,36.0,"18"" w X 10"" h",Y,
"hale, nathan",N,,6.0,5.0,"36""h x24""w",Y,
"Erasmus, Desiderius",N,,14.0,40.0,,Y,
Jackie Robinson Park,Y,,,,H: 8',M,
Dongan Oak Marker,Y,B073,0.0,39.0,"Eagle H: 1'10""; Stele H: 5' W: 1'8"" D: 1'; Base H: 1' W: 2'8"" D: 1'8""; Mounted plaque H: 1'11¼"" W: 1'5""; Total H: 9'7½""",Y,
Castello Plan,Y,M005,1.0,1.0,,Y,
George Sanford Parsons Plaque,Y,R088,,,"Plaque H:12"" W:18""",Y,
George Riekers Memorial,Y,Q225,14.0,32.0,"Plaque: approx.. 14 1/8” x 10 3/16”; Base Stone: 24 ¼” wide x 14 ¾” high at edges; 16” high at center. Bottom portion of plinth is 3 ½” flat before slope up; Depth: 10 ½” at bottom, 3 ½” at top.",Y,
Threshold Configuration,N,M010,7.0,6.0,,M,
Astoria Park War Memorial,Y,Q004,1.0,22.0,"Stele H: 6' W: 3'9""; Pedestal H: 3' W: 15'; Base H: 10"" W: 20'; Total H: 12' (all approximate)",Y,
"reins, sarah m.",N,,0.0,0.0,,Y,
Frogs,Y,X155,1.0,17.0,L: 3',M,
hermes,O,B048,9.0,35.0,,Y,
zoroaster,N,,5.0,2.0,,Y,
Moses,N,,5.0,2.0,,Y,
Gowanus Plaque (James J. Byrne),Y,,0.0,0.0,,M,
Washington Square Arch,Y,M098,2.0,1.0,"H: 73'6"" W:56'10""; Span 30'",Y,128000.00
Sunset Park Memorial,Y,B087,7.0,38.0,"Upper: 42.5"" Wide, 38"" Tall, 12"" Deep; Base: approx 20"" Deep, 52"" Wide, 12"" Tall",Y,
Catfish Waterjets,N,,7.0,6.0,2' x 2',Y,
Stuyvesant Park,Y,M086,6.0,2.0,,S,
Stapleton Tower Suite,Y,R028,1.0,49.0,"School tower H: 13' x 3'; Church tower H: 8' W: 2'6""; brewery tower H: 11' W: 3'10""; each pedestal H: 4'",N,"$50,000"
Lilac Walk,Y,M010,7.0,6.0,"H: 8"" W: 12¾""",Y,
Brooklyn Botanic Garden Gate,O,B010,9.0,35.0,,Y,
Eagles and Prey,Y,M010,7.0,6.0,"Total dimensions H: 12'6"" W: 6' D: 6'",Y,
Eagles and Prey,Y,M010,7.0,6.0,"Total dimensions H: 12'6"" W: 6' D: 6'",Y,
Hebrew Apostle,O,B048,9.0,35.0,no size,Y,"$3,000"
Edwin Franko Goldman,Y,M010,7.0,6.0,"H: 11"" W: 15""",Y,
